ID,Valid Landslide,Latitude,Longitude,CURVATURE,TWI,SLOPE_deg,DEM,ASPECT_deg,LANDCOVER_CODE,ASPECT_sin,ASPECT_cos
976,1,-36.798159,174.437241,0.293999910354614,4.9585075378418,21.4702262878418,62.7721977233887,231.98095703125,4.0,-0.78780608729717,-0.615923346543646
977,1,-36.798175,174.437057,0.342726707458496,4.9263653755188,24.8997917175293,59.0192985534668,236.46614074707,4.0,-0.833559506310619,-0.55242967827516
978,1,-36.797328,174.435725,2.11819410324097,4.05202388763428,29.0910606384277,77.5404968261719,139.078811645508,4.0,0.655020288503771,-0.755611290048287
979,1,-36.796989,174.435775,0.413274765014648,4.67300510406494,24.1571369171143,79.4240341186523,102.464782714844,4.0,0.976428858936554,-0.215839485349321
980,1,-36.797136,174.435837,0.804555416107178,2.66127276420593,29.1996746063232,75.3666687011719,110.765144348145,4.0,0.935041531260659,-0.354538199377335
981,1,-36.796832,174.435716,0.104117393493652,5.20517158508301,21.5611362457275,82.4877243041992,101.158950805664,4.0,0.981094061536505,-0.193531502391226
982,1,-36.799221,174.423831,0.132322311401367,3.91328120231628,17.7237510681152,99.1084442138672,152.360321044922,4.0,0.463909645128981,-0.885882521080703
983,1,-36.798926,174.423983,-0.282084941864014,4.47574186325073,20.0124683380127,102.901016235352,142.194549560547,4.0,0.612982216835859,-0.790096704108425
984,1,-36.79835,174.424295,0.21435022354126,4.36554956436157,26.9445323944092,116.732887268066,151.707290649414,4.0,0.473976168131614,-0.88053767213179
985,1,-36.798478,174.424935,-0.710856914520264,8.43461227416992,18.5405979156494,104.961036682129,158.388656616211,4.0,0.368308622055567,-0.929703586590656
986,1,-36.798291,174.425252,-0.140082836151123,6.13031482696533,20.0799045562744,109.387550354004,169.636520385742,4.0,0.17989217920758,-0.983686334082134
987,1,-36.797983,174.4253,0.0549674034118652,4.30854749679565,23.2917881011963,117.220458984375,161.786285400391,4.0,0.312562299545312,-0.949897262288373
988,1,-36.798522,174.424242,-0.0890493392944336,3.84319281578064,27.2123126983643,112.712951660156,160.059371948242,4.0,0.34104621656796,-0.940046529787053
989,1,-36.798839,174.421536,0.115585327148438,4.43730926513672,40.4175605773926,75.278190612793,224.195678710938,10.0,-0.697111030956089,-0.716963186306897
990,1,-36.798602,174.421164,0.51569938659668,3.84983682632446,40.4086723327637,71.7947998046875,228.4638671875,4.0,-0.748537699467338,-0.663092235270589
991,1,-36.796988,174.42192,0.522792339324951,5.70931148529053,26.7422866821289,82.4541778564453,293.783782958984,4.0,-0.91507385096628,0.403286309311068
992,1,-36.796831,174.424094,0.897765159606934,3.21968531608582,32.5981788635254,162.017623901367,334.993865966797,4.0,-0.422715287792653,0.90626253672232
993,1,-36.796426,174.424326,1.1601448059082,3.86768770217896,45.1006278991699,146.816162109375,312.509796142578,10.0,-0.737161817037931,0.67571625369036
994,1,-36.795488,174.425151,0.952386856079102,3.59291005134583,33.4421615600586,121.571029663086,13.5200748443604,10.0,0.233786040841031,0.972288067965393
995,1,-36.795392,174.425265,0.562572479248047,2.51199269294739,32.9775772094727,117.031265258789,24.1049919128418,10.0,0.408409989796793,0.912798597848497
996,1,-36.795577,174.425277,1.17146968841553,2.42211747169495,35.3697166442871,123.779006958008,27.4333534240723,10.0,0.460716528146348,0.88754733997279
997,1,-36.795645,174.425421,0.117099285125732,3.97400379180908,36.9402503967285,122.161544799805,41.3633270263672,10.0,0.660831610698643,0.750534197955987
