Area Maximum,Valid Landslide,Latitude,Longitude,X Coordinate,Y Coordinate
46,1,-36.805497,174.686926,1750483.6800000002,5925376.74
225,1,-36.787031,174.682663,1750139.3900000001,5927432.07
46,1,-36.787611,174.681967,1750076.1500000001,5927368.83
46,1,-36.78799,174.681471,1750031.1700000002,5927327.56
9,1,-36.788139,174.681249,1750011.06,5927311.42
46,1,-36.787301,174.68228,1750104.73,5927402.7
46,1,-36.786729,174.689381,1750739.46,5927455.09
46,1,-36.78871,174.690047,1750795.03,5927234.159999999
46,1,-36.788407,174.694429,1751186.61,5927260.88
225,1,-36.790726,174.725408,1753946.35,5926954.23
9,1,-36.804648,174.709454,1752495.1800000002,5925435.21
46,1,-36.805985,174.721095,1753531.03,5925268.26
46,1,-36.806177,174.721313,1753550.08,5925246.56
9,1,-36.807138,174.717548,1753212.34,5925146.07
46,1,-36.808466,174.710586,1752588.58,5925009.81
46,1,-36.986185,174.768017,1757346.61,5905199.41
46,1,-36.986479,174.76814,1757356.92,5905166.54
46,1,-36.985514,174.776212,1758077.37,5905260.1899999995
46,1,-36.985305,174.770627,1757580.75,5905292.63
46,1,-37.00543,174.763392,1756895.41,5903071.79
46,1,-37.00516,174.763624,1756916.58,5903101.42
46,1,-37.004816,174.763827,1756935.36,5903139.26
225,1,-37.004678,174.7641,1756959.97,5903154.07
46,1,-37.004623,174.76425,1756973.46,5903159.89
46,1,-37.004512,174.764489,1756994.8900000001,5903171.8
46,1,-37.004635,174.765083,1757047.54,5903157.25
46,1,-37.004861,174.765606,1757093.58,5903131.319999999
46,1,-37.004867,174.765814,1757112.1,5903130.26
225,1,-37.004876,174.76621,1757147.29,5903128.67
225,1,-37.004977,174.76706,1757222.7,5903115.970000001
46,1,-37.005031,174.767308,1757244.6600000001,5903109.619999999
46,1,-37.003625,174.767373,1757253.3900000001,5903265.46
46,1,-37.003467,174.767602,1757274.03,5903282.659999999
225,1,-37.00388,174.768836,1757383.04,5903234.7700000005
46,1,-36.999183,174.75076,1755784.1600000001,5903785.6899999995
225,1,-36.999233,174.75107,1755811.6700000002,5903779.6
46,1,-36.999108,174.751469,1755847.3900000001,5903792.83
46,1,-36.999182,174.751795,1755876.23,5903784.1
46,1,-36.9992,174.752003,1755894.75,5903781.72
46,1,-36.99215,174.791982,1759467.1600000001,5904497.63
46,1,-36.98953,174.795865,1759818.1600000001,5904781.84
46,1,-36.988597,174.796369,1759864.99,5904884.5
225,1,-36.985594,174.771214,1757632.34,5905259.659999999
46,1,-36.796207,174.785002,1759252.6500000001,5926248.5
225,1,-36.795976,174.784706,1759226.72,5926274.6899999995
46,1,-36.795735,174.784368,1759197.09,5926301.94
46,1,-36.79636,174.771789,1758073.4,5926253.53
46,1,-36.79683,174.769531,1757870.99,5926205.109999999
46,1,-36.798571,174.752733,1756368.6800000002,5926039.48
225,1,-36.800691,174.755798,1756637.77,5925799.34
46,1,-36.798107,174.787398,1759462.46,5926033.76
46,1,-36.798176,174.787411,1759463.52,5926026.09
9,1,-36.798243,174.787697,1759488.92,5926018.149999999
46,1,-36.799448,174.790026,1759694.24,5925880.57
46,1,-36.799763,174.790461,1759732.34,5925844.85
46,1,-36.799833,174.790611,1759745.57,5925836.91
9,1,-36.799929,174.790862,1759767.79,5925825.8
9,1,-36.800088,174.791222,1759799.54,5925807.54
9,1,-36.800212,174.791385,1759813.83,5925793.52
9,1,-36.800321,174.791473,1759821.5,5925781.35
9,1,-36.800383,174.79159,1759831.82,5925774.21
9,1,-36.800428,174.791775,1759848.23,5925768.91
9,1,-36.800503,174.791863,1759855.9,5925760.45
9,1,-36.802231,174.793131,1759965.44,5925566.609999999
9,1,-36.802529,174.793322,1759981.84,5925533.28
9,1,-36.802716,174.793403,1759988.72,5925512.37
9,1,-36.801777,174.792714,1759929.1900000002,5925617.68
9,1,-36.804767,174.772958,1758160.45,5925318.8
46,1,-36.804296,174.777856,1758598.33,5925362.99
46,1,-36.807861,174.753704,1756436.42,5925007.28
46,1,-36.806892,174.753753,1756442.77,5925114.7
46,1,-36.806509,174.753653,1756434.57,5925157.3
46,1,-36.806576,174.753684,1756437.21,5925149.89
46,1,-36.807298,174.748015,1755930,5925078.99
46,1,-36.806671,174.748033,1755932.91,5925148.57
46,1,-36.804841,174.743232,1755508.26,5925359.34
9,1,-37.007525,174.7724,1757692.6500000001,5902824.45
9,1,-37.007488,174.772325,1757686.04,5902828.6899999995
46,1,-37.003772,174.760657,1756655.48,5903260.28
225,1,-37.003846,174.760805,1756668.45,5903251.81
46,1,-37.00396,174.761021,1756687.5,5903238.84
225,1,-37.004093,174.76117,1756700.46,5903223.76
225,1,-37.004334,174.761646,1756742.27,5903196.25
225,1,-37.004601,174.761982,1756771.6400000001,5903166.08
225,1,-37.00478,174.762277,1756797.57,5903145.71
46,1,-37.004776,174.762444,1756812.3800000001,5903145.98
225,1,-37.004901,174.762521,1756819,5903131.95
225,1,-37.005039,174.762709,1756835.4,5903116.34
225,1,-37.004605,174.762091,1756781.37,5903165.45
46,1,-37.005131,174.762844,1756847.25,5903105.92
9,1,-36.984413,174.769349,1757468.83,5905393.7
9,1,-36.985027,174.767763,1757326.3800000001,5905328.25
9,1,-36.985139,174.767774,1757327.1800000002,5905315.819999999
9,1,-36.985233,174.767799,1757329.1600000001,5905305.37
46,1,-36.982993,174.767877,1757340.77,5905553.78
46,1,-36.983154,174.768074,1757357.97,5905535.52
46,1,-36.985009,174.753483,1756055.42,5905353.75
46,1,-36.981511,174.765245,1757109.53,5905722.470000001
1.1,1,-36.981582,174.76577,1757156.09,5905713.74
46,1,-36.981778,174.766262,1757199.48,5905691.25
46,1,-36.97965,174.774964,1757978.44,5905912.87
46,1,-36.953144,174.792494,1759594.1900000002,5908824.41
46,1,-36.954148000000004,174.795211,1759834.04,5908708.53
9,1,-36.95158,174.795555,1759870.02,5908992.85
46,1,-36.674388,174.507429,1734699.31,5940189.35
46,1,-36.675238,174.491683,1733290.8,5940117.109999999
46,1,-36.675448,174.489154,1733064.45,5940097.2700000005
46,1,-36.675385,174.48907,1733057.04,5940104.41
46,1,-36.674847,174.488425,1733000.29,5940165
9,1,-36.82586,174.433172,1727812.03,5923486.99
46,1,-36.82594,174.433117,1727807,5923478.25
9,1,-36.826629,174.431518,1727663.2,5923403.91
225,1,-36.828259,174.43538,1728004.91,5923217.9
46,1,-36.828238,174.435735,1728036.6600000001,5923219.76
225,1,-36.82844,174.434855,1727957.81,5923198.59
46,1,-36.828179,174.434301,1727908.86,5923228.22
46,1,-36.828442,174.434081,1727888.76,5923199.38
225,1,-36.828775,174.434689,1727942.47,5923161.55
46,1,-36.829069,174.435235,1727990.62,5923128.21
46,1,-36.8289,174.433443,1727831.08,5923149.38
0,1,-36.82883,174.432763,1727770.59,5923158.08
9,1,-36.828138,174.452808,1729559.47,5923207.85
46,1,-36.829868,174.434256,1727901.98,5923040.9
225,1,-36.830405,174.434236,1727899.34,5922981.37
46,1,-36.830288,174.433682,1727850.1300000001,5922995.119999999
46,1,-36.829972,174.433335,1727819.7,5923030.58
46,1,-36.83034,174.433463,1727830.55,5922989.57
225,1,-36.830692,174.43315,1727801.97,5922950.94
1.1,1,-36.830652,174.433567,1727839.28,5922954.91
1.1,1,-36.83054,174.432746,1727766.25,5922968.4
225,1,-36.830558,174.432221,1727719.42,5922967.08
46,1,-36.830037,174.43196,1727696.93,5923025.29
46,1,-36.830577,174.431811,1727682.78,5922965.49
9,1,-36.827191,174.4346,1727937.1700000002,5923337.5
46,1,-36.827834,174.43645,1728101.08,5923263.68
46,1,-36.827759,174.434921,1727964.82,5923274
225,1,-36.827544,174.436738,1728127.28,5923295.430000001
46,1,-36.826917,174.436338,1728092.62,5923365.54
